,Anikeeva,Nagaraj,Sarkar,Reynolds,Rudell,Lang,Bulovic,Moritz,Voldman,Kassegne,Perlm,Moon,Ozturk,Smith,Sathe,Fetz,Fairhall,Moody,S-Brown,Rieke,Brunton,Ojemann,Kutz,Darvas,Rao,Stocco,Chizeck,Olson,Steele,Goering,Klein,Alimoha,Anderson,Ashrafi,Jazayeri,Stramondo
Anikeeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarkar,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reynolds,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulovic,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moritz,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voldman,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassegne,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perlmutter,1,,,,3,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Moon,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ozturk,,,,,,,,,,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,
Smith,,1,1,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sathe,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Fetz,,,,1,,,,1,,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,
Fairhall,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Moody,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
S-Brown,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Rieke,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Brunton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ojemann,,,,,,1,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,
Kutz,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
Darvas,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,,,,
Rao,,,,1,,1,,1,,,,,,1,,3,,,,,4,17,,2,,,,,,,,,,,,
Stocco,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Chizeck,,,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Olson,,,,,,1,,,,,,,,,,1,,,,,2,9,,1,6,,,,,,,,,,,
Steele,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,,,,,,,
Goering,,,,,,,,1,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,
Klein,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,
Alimoha,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Anderson,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Ashrafi,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Jazayeri,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Stramondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
