fullname,name,color
Anikeeva,Anikeeva,#0000FF
Nagaraj,Nagaraj,#FF0000
Sarkar,Sarkar,#00FF00
Reynolds,Reynolds,#00002C
Rudell,Rudell,#FF1AB9
Lang,Lang,#FFD300
Bulovic,Bulovic,#005800
Moritz,Moritz,#8484FF
Voldman,Voldman,#9E4F46
Kassegne,Kassegne,#00FFC1
Perlmutter,Perlmutter,#008495
Moon,Moon,#00007B
Ozturk,Ozturk,#95D34F
Smith,Smith,#F69EDC
Sathe,Sathe,#D312FF
Fetz,Fetz,#7B1A6A
Fairhall,Fairhall,#F61261
Moody,Moody,#FFC184
S-Brown,S-Brown,#232309
Rieke,Rieke,#8DA77B
Brunton,Brunton,#F68409
Ojemann,Ojemann,#847200
Kutz,Kutz,#72F6FF
Darvas,Darvas,#9EC1FF
Rao,Rao,#72617B
Stocco,Stocco,#9E0000
Chizeck,Chizeck,#004FFF
Olson,Olson,#004695
Steele,Steele,#D3FF00
Goering,Goering,#B94FD3
Klein,Klein,#3E001A
Alimoha,Alimoha,#EDFFB0
Anderson,Anderson,#FF7B61
Ashrafi,Ashrafi,#46FF7B
Jazayeri,Jazayeri,#12A761
Stramondo,Stramondo,#D3A7A7
